Run,Order,Label,Score,Raw score,Exact10,Extractable,Retrieval usage %,Selected
v14.5 gate,8,gpt2_math_lora_v145_gate_sweep_valid_select_answer_only,6.807,6807,664,996,62.2,False
v14.5 gate,9,gpt2_math_lora_v145_gate_sweep_valid_select_final,6.807,6807,664,996,62.2,False
v14.5 gate,10,gpt2_math_lora_v145_gate_sweep_valid_select_sft,6.807,6807,664,996,62.2,False
v15 ensemble selected,0,epoch_01,6.122,6122,597,998,62.5,False
v15 ensemble selected,1,epoch_02,6.332,6332,617,998,61.9,False
v15 ensemble selected,2,epoch_03,6.272,6272,614,946,62.3,False
v15 ensemble selected,3,epoch_04,6.361,6361,620,993,62.4,False
v15 ensemble selected,4,epoch_05,6.53,6530,638,993,62.4,False
v15 ensemble selected,5,epoch_06,6.661,6661,649,997,62.1,False
v15 ensemble selected,6,epoch_07,6.79,6790,664,997,61.9,False
v15 ensemble selected,7,epoch_08,6.857,6857,671,998,62.0,True
v15 ensemble selected,8,gpt2_math_lora_v15_ensemble_ranker_answer_only,6.857,6857,671,998,62.0,False
v15 ensemble selected,9,gpt2_math_lora_v15_ensemble_ranker_final,6.857,6857,671,998,62.0,False
v15 ensemble selected,10,gpt2_math_lora_v15_ensemble_ranker_sft,6.857,6857,671,998,62.0,False
v15 type-specific,0,epoch_01,5.239,5239,508,984,,False
v15 type-specific,1,epoch_02,5.451,5451,528,997,,False
v15 type-specific,2,epoch_03,5.466,5466,527,992,,False
v15 type-specific,3,epoch_04,5.647,5647,546,998,,False
v15 type-specific,4,epoch_05,5.899,5899,572,998,,False
v15 type-specific,5,epoch_06,6.148,6148,598,994,,False
v15 type-specific,6,epoch_07,6.194,6194,604,992,,False
v15 type-specific,7,epoch_08,6.241,6241,608,993,,True
v15 type-specific,8,gpt2_math_lora_v15_type_expert_sv_fobar_answer_only,6.241,6241,608,993,,False
v15 type-specific,9,gpt2_math_lora_v15_type_expert_sv_fobar_final,6.241,6241,608,993,,False
v15 type-specific,10,gpt2_math_lora_v15_type_expert_sv_fobar_sft,6.241,6241,608,993,,False
